group_id,girl,kind,idx,n_lines,id,path_id,field_path,text
AskDate,,AskDate,23,74,3ec386aba919,9002,lineSets[0].lines[1].dialogLine[9].text,···Okay!····· Come on! I'll race you there!
AskDate,,AskDate,24,74,40ed3310d4aa,9002,lineSets[0].lines[1].dialogLine[10].text,Of course.····· Are you ready to go?
AskDate,,AskDate,25,74,966e00ca9699,9002,lineSets[0].lines[1].dialogLine[11].text,"Sure,········· why not?·················· Let's see what you've got..."
AskDate,,AskDate,26,74,49d639c83dc9,9002,lineSets[0].lines[2].dialogLine[0].text,"Psssh!···· Ummm,·· yes!····· I thought you'd never ask!"
AskDate,,AskDate,27,74,33091f6383f0,9002,lineSets[0].lines[2].dialogLine[1].text,Can't really argue with that.····· Take me somewhere nice!
AskDate,,AskDate,28,74,7be31be64e61,9002,lineSets[0].lines[2].dialogLine[2].text,Of course!·········· What are we waiting for?
AskDate,,AskDate,29,74,d51447ecc6c3,9002,lineSets[0].lines[2].dialogLine[3].text,"*hahahahaha*··········With you?················ Uhhh,················ yeah,·············· sure,·············· whatever.·········· Just don't get your hopes up."
AskDate,,AskDate,30,74,7e6b609fc269,9002,lineSets[0].lines[2].dialogLine[4].text,No thanks...··············· Just kidding!···*hahahahahahaha*
AskDate,,AskDate,31,74,2e65ec871aaf,9002,lineSets[0].lines[2].dialogLine[5].text,"Okay, but·· I have to warn you I have no idea what I'm doing. Soooo,··· yeah.··········"
AskDate,,AskDate,32,74,06ac5d8d55b4,9002,lineSets[0].lines[2].dialogLine[6].text,"A date?·········· Oh,··· that's adorable!············· I'd love to go on a date with you."
AskDate,,AskDate,33,74,6fee1d717284,9002,lineSets[0].lines[2].dialogLine[7].text,Yes!··············· I'd like that a lot.··············· I'm looking forward to it!
AskDate,,AskDate,34,74,a0c8d7ba0091,9002,lineSets[0].lines[2].dialogLine[8].text,Good luck!····· I know I can be a real bitch to win over.
AskDate,,AskDate,35,74,fdf7a3b1b488,9002,lineSets[0].lines[2].dialogLine[9].text,···Yaay!···· Can we go right now? Pleeease?·····
AskDate,,AskDate,36,74,9702dc912110,9002,lineSets[0].lines[2].dialogLine[10].text,I'm certain that you somehow already knew that I'm going to say yes.
AskDate,,AskDate,37,74,9baa8a53688f,9002,lineSets[0].lines[2].dialogLine[11].text,I can't wait to see what you've planned for us.
AskDate,,AskDate,38,74,689e88240271,9002,lineSets[0].lines[3].dialogLine[0].text,I guess I've got some time.····· Let's do it!
AskDate,,AskDate,39,74,613e39624797,9002,lineSets[0].lines[3].dialogLine[1].text,"Yeah,····· alright.····· Why not?"
AskDate,,AskDate,40,74,8f59ed287bd8,9002,lineSets[0].lines[3].dialogLine[2].text,"Yea,······· okay!·········· Sounds like a blast."
AskDate,,AskDate,41,74,60decce920d6,9002,lineSets[0].lines[3].dialogLine[3].text,Pffft!·········· Alright...····· let's just get this over with.
AskDate,,AskDate,42,74,7de6c6189d7a,9002,lineSets[0].lines[3].dialogLine[4].text,It would be rude not to after you asked so nicely.
AskDate,,AskDate,43,74,211122e7404c,9002,lineSets[0].lines[3].dialogLine[5].text,"I guess I don't have anything better to do right now.········ Okay,·········· we can go.·····"
AskDate,,AskDate,44,74,e62218fea62c,9002,lineSets[0].lines[3].dialogLine[6].text,"Sure,·· baby.·········· Where are you taking me?············· No, wait!····· Surprise me!·····"
AskDate,,AskDate,45,74,e6934355d898,9002,lineSets[0].lines[3].dialogLine[7].text,Alright!···················· This will be a good chance to get to know each other better.
AskDate,,AskDate,46,74,e9361536c31e,9002,lineSets[0].lines[3].dialogLine[8].text,Can't wait to see where we end up this time!
AskDate,,AskDate,47,74,e7e37372b053,9002,lineSets[0].lines[3].dialogLine[9].text,···Let's go!····· I'll lead the way!
AskDate,,AskDate,48,74,80a8f3c1bbe2,9002,lineSets[0].lines[3].dialogLine[10].text,Hmmm...····· Alright.············· I wonder what outfit I should change into...
AskDate,,AskDate,49,74,2473b898e3a4,9002,lineSets[0].lines[3].dialogLine[11].text,I'm expecting good things from you...
AskDate,,AskDate,50,74,10eeb020ea84,9002,lineSets[0].lines[4].dialogLine[0].text,"Alright,·· alright!····· How can I say no to that?"
AskDate,,AskDate,51,74,dda9e2c65015,9002,lineSets[0].lines[4].dialogLine[1].text,"Hey,····· as long as you're paying!"
AskDate,,AskDate,52,74,bf2f5e45dfbe,9002,lineSets[0].lines[4].dialogLine[2].text,I'd··· love·· to!·········· Let's make it happen.
AskDate,,AskDate,53,74,192c4732ea72,9002,lineSets[0].lines[4].dialogLine[3].text,If this turns out to be a waste of time····· I'm gonna be so····· pissed.·····
AskDate,,AskDate,54,74,c9e12c077ace,9002,lineSets[0].lines[4].dialogLine[4].text,"When?····· Right now?...····· Uhhh,····· sure!"
AskDate,,AskDate,55,74,2663ca5f56d0,9002,lineSets[0].lines[4].dialogLine[5].text,"Nobody else has ever asked me out before.·········· It's weird.·············· Buuuut...····· okay,····· sure."
AskDate,,AskDate,56,74,1fd5b56ebd9c,9002,lineSets[0].lines[4].dialogLine[6].text,Well I've never been one to turn down a good time!···
AskDate,,AskDate,57,74,dea23b0beff9,9002,lineSets[0].lines[4].dialogLine[7].text,Good idea!···················· I'm going to run and get ready.
AskDate,,AskDate,58,74,048719e64f87,9002,lineSets[0].lines[4].dialogLine[8].text,I'm pretty pumped to see how much you've improved!
AskDate,,AskDate,59,74,aa9f73c74b08,9002,lineSets[0].lines[4].dialogLine[9].text,···Mmhm!·········· What are we waiting for?···
AskDate,,AskDate,60,74,747611f3b473,9002,lineSets[0].lines[4].dialogLine[10].text,I'd like little more.····· Shall we?
AskDate,,AskDate,61,74,a0fac4d05449,9002,lineSets[0].lines[4].dialogLine[11].text,Don't let me down.
AskDate,,AskDate,62,74,154f771c4cb1,9002,lineSets[0].lines[5].dialogLine[0].text,Sure!····· Sounds like fun.····· Ready to go?
AskDate,,AskDate,63,74,48dd51d74a4a,9002,lineSets[0].lines[5].dialogLine[1].text,You know what?····· Anything is funner than hanging around here.····· Let's go!
AskDate,,AskDate,64,74,0460120e8ef7,9002,lineSets[0].lines[5].dialogLine[2].text,I think that's an awesome idea!·········· You ready?
AskDate,,AskDate,65,74,1dca8171018e,9002,lineSets[0].lines[5].dialogLine[3].text,"Oh, my god!····· Fiiiine..."
AskDate,,AskDate,66,74,ca853af07c84,9002,lineSets[0].lines[5].dialogLine[4].text,Mmmm...····· okay!····· Sounds great!
AskDate,,AskDate,67,74,c326cdd465b1,9002,lineSets[0].lines[5].dialogLine[5].text,You really want to go with me?··············· Alright...
AskDate,,AskDate,68,74,ebe1cbc3a366,9002,lineSets[0].lines[5].dialogLine[6].text,"Yes,····· I will.····· It's the least I can do."
AskDate,,AskDate,69,74,584602daa375,9002,lineSets[0].lines[5].dialogLine[7].text,"Well...············· I don't think I have anything going on.·········· Alright,····· let's go out!"
AskDate,,AskDate,70,74,81ec954550cc,9002,lineSets[0].lines[5].dialogLine[8].text,Alright!····· Saddle up!····· Let's do this shit!·····
AskDate,,AskDate,71,74,86ced9efa4d3,9002,lineSets[0].lines[5].dialogLine[9].text,"···A date with my master?···· Yes, of course!"
AskDate,,AskDate,72,74,55d8e170a1bd,9002,lineSets[0].lines[5].dialogLine[10].text,That sounds like an enjoyable time.····· Let's go.
AskDate,,AskDate,73,74,3d4b12a4b2cf,9002,lineSets[0].lines[5].dialogLine[11].text,"Yes, yes, yes, yes...··· just come on then.····· I haven't got all day you know."
DateGreeting,,DateGreeting,0,190,82c1b7486eb1,9003,lineSets[0].label,botanical gardens
DateGreeting,,DateGreeting,1,190,9377deb3c013,9003,lineSets[0].lines[0].dialogLine[0].text,It's so pretty here!····· It smells so nice too!
DateGreeting,,DateGreeting,2,190,3ea48e2ddbc4,9003,lineSets[0].lines[0].dialogLine[1].text,Fuck it's nice here!
DateGreeting,,DateGreeting,3,190,1e015dc9e737,9003,lineSets[0].lines[0].dialogLine[2].text,"Awww,····· this is so cute.····· What a neat idea."
DateGreeting,,DateGreeting,4,190,9073f55794f4,9003,lineSets[0].lines[0].dialogLine[3].text,"Okay,······· I'm here.····· So, now what?"
DateGreeting,,DateGreeting,5,190,06431bd4b268,9003,lineSets[0].lines[0].dialogLine[4].text,Absolutely beautiful.······· Look at all these colors.
DateGreeting,,DateGreeting,6,190,53a02f74bd21,9003,lineSets[0].lines[0].dialogLine[5].text,"·····Ughhh,····· I think my allergies are starting to act up."
DateGreeting,,DateGreeting,7,190,720cd5e838a4,9003,lineSets[0].lines[0].dialogLine[6].text,"Ohhh,······· how··· pretty!·········· Nobody has ever taken me anywhere like this before."
DateGreeting,,DateGreeting,8,190,e48ddb2556ea,9003,lineSets[0].lines[0].dialogLine[7].text,Wow!····· It's lovely!············· What a beautiful garden.
DateGreeting,,DateGreeting,9,190,ec67776d8251,9003,lineSets[0].lines[0].dialogLine[8].text,This is kinda what it looks like back home.········ Except less magic-y.···
DateGreeting,,DateGreeting,10,190,4f293ac90992,9003,lineSets[0].lines[0].dialogLine[9].text,···Wooooow!······· Look at all these flowers!
DateGreeting,,DateGreeting,11,190,d8e7118297e5,9003,lineSets[0].lines[0].dialogLine[11].text,"Well,·········· it's not exactly home,·········· but it is pretty here."
DateGreeting,,DateGreeting,12,190,154eb94fa163,9003,lineSets[1].label,hiking trail
DateGreeting,,DateGreeting,13,190,d81dd376c21e,9003,lineSets[1].lines[0].dialogLine[0].text,I'm really glad you asked me out this morning.
DateGreeting,,DateGreeting,14,190,2d17796f6dc9,9003,lineSets[1].lines[0].dialogLine[1].text,I hope I don't get any shit····· on this out··fit.
DateGreeting,,DateGreeting,15,190,60363860cec5,9003,lineSets[1].lines[0].dialogLine[2].text,It's so cool that you like to hike too.
DateGreeting,,DateGreeting,16,190,b15cba1d9ecb,9003,lineSets[1].lines[0].dialogLine[3].text,"Okay,······· I'm here.····· So, now what?"
DateGreeting,,DateGreeting,17,190,7c16a6808655,9003,lineSets[1].lines[0].dialogLine[4].text,You've gotta love that fresh morning air.
DateGreeting,,DateGreeting,18,190,52564b0e5807,9003,lineSets[1].lines[0].dialogLine[5].text,"Alright,····· fine.····· But, I better not get my shoes muddy."
DateGreeting,,DateGreeting,19,190,43262187a9b6,9003,lineSets[1].lines[0].dialogLine[6].text,*aaaaaacccc*·····My legs are soooo tired...········ you should carry me!
DateGreeting,,DateGreeting,20,190,975209c3835e,9003,lineSets[1].lines[0].dialogLine[7].text,Mmmmm!···················· Don't you just love that misty morning air?
DateGreeting,,DateGreeting,21,190,0ad89a85835d,9003,lineSets[1].lines[0].dialogLine[8].text,You humans and your walking.
DateGreeting,,DateGreeting,22,190,d60d23aafd1c,9003,lineSets[1].lines[0].dialogLine[9].text,···Yeesss!······· I can run around here all I want!
DateGreeting,,DateGreeting,23,190,de5bfaa12387,9003,lineSets[1].lines[0].dialogLine[11].text,I'm going to be watching you veeeery closely...····· so try not to mess up!
DateGreeting,,DateGreeting,24,190,8d0eced3424e,9003,lineSets[2].label,market
DateGreeting,,DateGreeting,25,190,e7092ce8f305,9003,lineSets[2].lines[0].dialogLine[0].text,The market;············ what a neat idea.············ This should be fun!
DateGreeting,,DateGreeting,26,190,c3f9ef2dc4e0,9003,lineSets[2].lines[0].dialogLine[1].text,This place is great.·········· I think I'm gonna pick up some dinner while we're here.
DateGreeting,,DateGreeting,27,190,7a093b520d2c,9003,lineSets[2].lines[0].dialogLine[2].text,Thanks for inviting me out!····· Such a nice day for the market.
DateGreeting,,DateGreeting,28,190,9a8e61f03c5e,9003,lineSets[2].lines[0].dialogLine[3].text,"Okay,······· I'm here.····· So, now what?"
DateGreeting,,DateGreeting,29,190,581523ec9e2a,9003,lineSets[2].lines[0].dialogLine[4].text,How did you find out about the market?····· I come here all the time!
DateGreeting,,DateGreeting,30,190,39d1f6f70bc5,9003,lineSets[2].lines[0].dialogLine[5].text,Hmmm...·········· is it all fruits and veggies?·········· I could go for some ice cream.
DateGreeting,,DateGreeting,31,190,28aaab1618c2,9003,lineSets[2].lines[0].dialogLine[6].text,Ooooooooo!·········· Do they have any fast food joints around here?
DateGreeting,,DateGreeting,32,190,b9dcfae7c048,9003,lineSets[2].lines[0].dialogLine[7].text,Ohhh!····· The market!····· What a fun idea.
DateGreeting,,DateGreeting,33,190,31d738167970,9003,lineSets[2].lines[0].dialogLine[8].text,"There's nothing here I like,····· so you better make this a good date!"
DateGreeting,,DateGreeting,34,190,2c10a77bf7c8,9003,lineSets[2].lines[0].dialogLine[9].text,···Awesome!····· They have all my favorites here!
DateGreeting,,DateGreeting,35,190,5cf29d0f64ac,9003,lineSets[2].lines[0].dialogLine[11].text,"So then,·········· here we are.·········· No time to waste...·········· woo me."
DateGreeting,,DateGreeting,36,190,7e2477393221,9003,lineSets[3].label,ice rink
DateGreeting,,DateGreeting,37,190,bf8aaba82dac,9003,lineSets[3].lines[0].dialogLine[0].text,It's been a while since I've last skated.·····*haha*····· Don't laugh at me!
DateGreeting,,DateGreeting,38,190,16acd93cd888,9003,lineSets[3].lines[0].dialogLine[1].text,"Look at this,····· we've got the whole rink to ourselves!"
DateGreeting,,DateGreeting,39,190,468265a91500,9003,lineSets[3].lines[0].dialogLine[2].text,Skating is like my favorite thing ever.····· This is gonna be so much fun!
DateGreeting,,DateGreeting,40,190,c02607124e56,9003,lineSets[3].lines[0].dialogLine[3].text,"God,····· could it be any colder in here?"
DateGreeting,,DateGreeting,41,190,aeaf2668d3bb,9003,lineSets[3].lines[0].dialogLine[4].text,You could say I've been around the rink a few times in my day.····· I'll give you some tips.
DateGreeting,,DateGreeting,42,190,db91b8150b32,9003,lineSets[3].lines[0].dialogLine[5].text,"Yeah, okay.····· This might be fun...····· if I can stay up long enough."
DateGreeting,,DateGreeting,43,190,a8aea06ccd25,9003,lineSets[3].lines[0].dialogLine[6].text,"We'll see how I do.········ It's hard to stay balanced with this huge rack, you know.·····*hahahaha*·····"
DateGreeting,,DateGreeting,44,190,0ddf3fcb5241,9003,lineSets[3].lines[0].dialogLine[7].text,*hahahaha*·····*ccc*·····I just keep picturing myself falling on my butt.
DateGreeting,,DateGreeting,45,190,dc97cc1a1feb,9003,lineSets[3].lines[0].dialogLine[8].text,I loooovve the music here.····· It's probably my favorite song on the soundtrack.
DateGreeting,,DateGreeting,46,190,5a32132ee609,9003,lineSets[3].lines[0].dialogLine[9].text,···Uhhhh...········ can you help me put my skates on?
DateGreeting,,DateGreeting,47,190,d8f26156bfae,9003,lineSets[3].lines[0].dialogLine[11].text,"Okay,·········· let's find out if your dating is as good as your skating."
DateGreeting,,DateGreeting,48,190,99cf11df721a,9003,lineSets[4].label,water park
DateGreeting,,DateGreeting,49,190,4370eb42edc4,9003,lineSets[4].lines[0].dialogLine[0].text,I used to come here a lot as a kid.····· Race you to the big slide!
DateGreeting,,DateGreeting,50,190,9a6d4607bd1d,9003,lineSets[4].lines[0].dialogLine[1].text,"I'll be at the lazy river,····· come get me when you're ready to leave. *hahahahaha*"
DateGreeting,,DateGreeting,51,190,2b6615e5ce92,9003,lineSets[4].lines[0].dialogLine[2].text,"Aight,····· let's hurry!····· I don't want to be stuck in long lines all day!"
DateGreeting,,DateGreeting,52,190,49a08ebae4fa,9003,lineSets[4].lines[0].dialogLine[3].text,Shit!····· I forgot to bring my sunscreen.
DateGreeting,,DateGreeting,53,190,e7eb935771ac,9003,lineSets[4].lines[0].dialogLine[4].text,*hahahaha**aaa*···The water is soooo··· cold.············· I like it out here in the sun.
DateGreeting,,DateGreeting,54,190,b0e5de64b1f3,9003,lineSets[4].lines[0].dialogLine[5].text,This sun is gonna burn me alive.····· I don't tan well.
DateGreeting,,DateGreeting,55,190,3a88614babab,9003,lineSets[4].lines[0].dialogLine[6].text,Awwwww!··············· I used to take my daughter here all the time when she was young.
DateGreeting,,DateGreeting,56,190,c2cc30c279ce,9003,lineSets[4].lines[0].dialogLine[7].text,I think people are staring at me...·········· What did I tell you about this bikini!
DateGreeting,,DateGreeting,57,190,0ef6b2e24eb1,9003,lineSets[4].lines[0].dialogLine[8].text,This works out pretty nice.····· I need to water my leaf bikini.···*ccmm*
DateGreeting,,DateGreeting,58,190,4f0ff3f17f1d,9003,lineSets[4].lines[0].dialogLine[9].text,···Make sure my ears don't get wet;····· it really freaks me out.
DateGreeting,,DateGreeting,59,190,a901fc561093,9003,lineSets[4].lines[0].dialogLine[11].text,"I'll admit it,····· this is actually fun."
DateGreeting,,DateGreeting,60,190,a3a0d1d9ebb0,9003,lineSets[5].label,tennis court
DateGreeting,,DateGreeting,61,190,40aed4ff96ba,9003,lineSets[5].lines[0].dialogLine[0].text,"Be warned,····· I'm like the best Tennis player in my cheer squad."
DateGreeting,,DateGreeting,62,190,d7664daa5fe5,9003,lineSets[5].lines[0].dialogLine[1].text,"I've only played this a couple times····· so try not to kill me, okay?"
DateGreeting,,DateGreeting,63,190,65478e10b4ac,9003,lineSets[5].lines[0].dialogLine[2].secondaryText,This is the kinda date··· I can get behind.····· You ready to be crushed?
DateGreeting,,DateGreeting,64,190,c2d09862b3da,9003,lineSets[5].lines[0].dialogLine[2].text,This is the kinda date··· I can get behind.····· You ready to be emasculated?
DateGreeting,,DateGreeting,65,190,7c4a14a4f340,9003,lineSets[5].lines[0].dialogLine[3].text,Great;····· now I get to be all sweaty and gross.
DateGreeting,,DateGreeting,66,190,ce9d86ad0a70,9003,lineSets[5].lines[0].dialogLine[4].text,"I'll take it easy on you, I promise."
DateGreeting,,DateGreeting,67,190,85c1ac473885,9003,lineSets[5].lines[0].dialogLine[5].text,"Hmm,····· I like virtual tennis...····· but I rarely played the actual game."
DateGreeting,,DateGreeting,68,190,5437a94c8f0c,9003,lineSets[5].lines[0].dialogLine[6].text,"Don't laugh at me if I suck.·········· I used to use my racket a lot,·· but never for tennis..."
DateGreeting,,DateGreeting,69,190,c59e4b0f706d,9003,lineSets[5].lines[0].dialogLine[7].text,"If I win,····· you're buying us lunch!·····*aaaacc*····· Good luck!"
DateGreeting,,DateGreeting,70,190,bd4a676131fe,9003,lineSets[5].lines[0].dialogLine[8].text,I don't know much about this game...····· is it anything like sex?····· I know a lot about that.
DateGreeting,,DateGreeting,71,190,747462b2761f,9003,lineSets[5].lines[0].dialogLine[9].text,···Waaaiit...············ I don't get it...············· Why aren't you supposed to chase the ball again?
DateGreeting,,DateGreeting,72,190,48f9b16cfbbd,9003,lineSets[5].lines[0].dialogLine[11].text,"Well it's not the exact location I would have selected.············· But,····· it'll have to do."
DateGreeting,,DateGreeting,73,190,500de6f3d201,9003,lineSets[6].label,hot springs
DateGreeting,,DateGreeting,74,190,47f859d7f348,9003,lineSets[6].lines[0].dialogLine[0].text,The water feels soooo nice.······· Come on in!
DateGreeting,,DateGreeting,75,190,97ccb4532259,9003,lineSets[6].lines[0].dialogLine[1].text,"*aaaaaacccc* Gooooood,····· this feels soooo nice..."
DateGreeting,,DateGreeting,76,190,78a1b3fe878a,9003,lineSets[6].lines[0].dialogLine[2].text,Heeey...········ you just wanted to see me in a bikini!····· Didn't you?
DateGreeting,,DateGreeting,77,190,931456f1d42b,9003,lineSets[6].lines[0].dialogLine[3].text,I suppose I could get used to this...
DateGreeting,,DateGreeting,78,190,2aaf92680e92,9003,lineSets[6].lines[0].dialogLine[4].text,Ahhhhh...····· this is soooo··· relaxing.············· Jab me if I start to doze off.
DateGreeting,,DateGreeting,79,190,46dc80b381f8,9003,lineSets[6].lines[0].dialogLine[5].text,"Hey,····· this is actually pretty nice.····· The water feels great.·····"
DateGreeting,,DateGreeting,80,190,2d7b8d0ec263,9003,lineSets[6].lines[0].dialogLine[6].text,Ahhhhh...····· this is what I deserve...····· to be pampered.
DateGreeting,,DateGreeting,81,190,11c517bda7e9,9003,lineSets[6].lines[0].dialogLine[7].text,It's so peaceful here...·········· very relaxing.
DateGreeting,,DateGreeting,82,190,15e624faf322,9003,lineSets[6].lines[0].dialogLine[8].text,Ahhh the hot spring...····· a classic dating sim staple.
DateGreeting,,DateGreeting,83,190,796866569b76,9003,lineSets[6].lines[0].dialogLine[9].text,"···*aaaaaaaaaa*··········Ohh, sorry!········ There's just a lot of water here..."
DateGreeting,,DateGreeting,84,190,45ef84636329,9003,lineSets[6].lines[0].dialogLine[10].text,This··· feels··· *aaa*amazing...·········· they don't have anything like this back home.
DateGreeting,,DateGreeting,85,190,fa106828896a,9003,lineSets[6].lines[0].dialogLine[11].text,Ahhhhhhhhhhhh...············ how soooooothing...······················ A girl could get used to this.
DateGreeting,,DateGreeting,86,190,f0800f9c93b1,9003,lineSets[7].label,scenic overlook
DateGreeting,,DateGreeting,87,190,e4c691f0cea9,9003,lineSets[7].lines[0].dialogLine[0].text,Wow!············· It's so beautiful from up here.
DateGreeting,,DateGreeting,88,190,ca2893c05a12,9003,lineSets[7].lines[0].dialogLine[1].text,·····This is romantic as shit.··············· Are you trying to seduce me?
DateGreeting,,DateGreeting,89,190,a8d898f21945,9003,lineSets[7].lines[0].dialogLine[2].text,I'm glad you asked me out.····· This is beautiful.
DateGreeting,,DateGreeting,90,190,105bae12b370,9003,lineSets[7].lines[0].dialogLine[3].text,Ughh... gaaaay!
DateGreeting,,DateGreeting,91,190,3de76e8df3d1,9003,lineSets[7].lines[0].dialogLine[4].text,Will you look at that?····· Breathtaking...
DateGreeting,,DateGreeting,92,190,767aa98f6914,9003,lineSets[7].lines[0].dialogLine[5].text,Really?····· *hahahahahaha*·········· It's a little romantic up here don't you think?
DateGreeting,,DateGreeting,93,190,79355629d300,9003,lineSets[7].lines[0].dialogLine[6].text,Wooow...····· Alright...····· I'm soaked already.*hahahaha*·····
DateGreeting,,DateGreeting,94,190,f8a802ea9cbc,9003,lineSets[7].lines[0].dialogLine[7].text,"Hey,····· you know about this spot too!?·········· Sometimes,····· I come up here to think."
DateGreeting,,DateGreeting,95,190,8fd92665202d,9003,lineSets[7].lines[0].dialogLine[8].text,This is definitely where you take a girl if you want to seduce her.
DateGreeting,,DateGreeting,96,190,58699958fcb5,9003,lineSets[7].lines[0].dialogLine[9].text,···It's so pretty up here!····· Thanks for taking me here.
DateGreeting,,DateGreeting,97,190,9b5c30950d3a,9003,lineSets[7].lines[0].dialogLine[10].text,Your planet really is a beautiful place...····· I almost don't want to leave.
DateGreeting,,DateGreeting,98,190,f5bb3fdb91dc,9003,lineSets[7].lines[0].dialogLine[11].text,Let's see how well the other girls have prepared you for me.
DateGreeting,,DateGreeting,99,190,dcaacd8263f3,9003,lineSets[8].label,casino
DateGreeting,,DateGreeting,100,190,4fe82c14e7f9,9003,lineSets[8].lines[0].dialogLine[0].text,My friend Nikki would love this!····· She's really into games.
DateGreeting,,DateGreeting,101,190,d5d0207ac553,9003,lineSets[8].lines[0].dialogLine[1].text,Now this is a night out!····· Stand back and watch the master!
DateGreeting,,DateGreeting,102,190,a75489542a69,9003,lineSets[8].lines[0].dialogLine[2].text,"I'm not usually one to gamble...········ but,····· we'll see how this goes!"
DateGreeting,,DateGreeting,103,190,b87f98231551,9003,lineSets[8].lines[0].dialogLine[3].text,*aaaacc*·····At least I can smoke in here.
DateGreeting,,DateGreeting,104,190,c9d616f77f4d,9003,lineSets[8].lines[0].dialogLine[4].text,This'll be fun!······· I bet I win more than you!
DateGreeting,,DateGreeting,105,190,209fe825406a,9003,lineSets[8].lines[0].dialogLine[5].text,"Well it's not an arcade,····· but····· I guess games are games."
DateGreeting,,DateGreeting,106,190,3436424e1ede,9003,lineSets[8].lines[0].dialogLine[6].text,You know the best part about a casino?····· Free·· drinks!········
DateGreeting,,DateGreeting,107,190,71cc37e4ce01,9003,lineSets[8].lines[0].dialogLine[7].text,··This is··· so exciting!··············· I hope I don't get too carried away...
DateGreeting,,DateGreeting,108,190,7fdc48b5b552,9003,lineSets[8].lines[0].dialogLine[8].text,They need to get some machines that take Hunie.····· That's all I've got.
DateGreeting,,DateGreeting,109,190,42cf47113903,9003,lineSets[8].lines[0].dialogLine[9].text,···What did that man mean when he asked for my I.D.?
DateGreeting,,DateGreeting,110,190,a0be6d3dbbfb,9003,lineSets[8].lines[0].dialogLine[10].text,The environment here is just like my planet...····· It makes me a little homesick.·····*hahahaha*
DateGreeting,,DateGreeting,111,190,0cab2c24f576,9003,lineSets[8].lines[0].dialogLine[11].text,Best of luck!··············· I have a feeling you're going to need it...
DateGreeting,,DateGreeting,112,190,519fc8b3b114,9003,lineSets[9].label,outdoor lounge
DateGreeting,,DateGreeting,113,190,cf3edc05e8dc,9003,lineSets[9].lines[0].dialogLine[0].text,This place is great...····· super chill.
