sample_id,category,occurrences,text,pt_BR
7ad6a8e043e4,other,3,126 lbs,
d4b667d97692,other,3,128 lbs,
ea2c9bea8ceb,other,3,20 Years Old,
9fca0e5e69e6,other,3,24 Years Old,
9b8bd3d2aa77,other,3,28 Years Old,
ece2d0c421b5,other,3,32 Years Old,
c2227a9cb3b7,other,3,5 Feet 6 Inches,
e97a9888d201,other,3,August 3rd,
4209042326bc,other,3,Baby Blue,
5d6f462baad8,other,3,Beige Cream,
51a9f1913849,other,3,December 22nd,
00c86815af31,other,3,Drinking,
47505d033154,other,3,February 23rd,
4ee0ad4a8f5b,other,3,Fitness Club,
62bc16f38129,other,3,Gaming,
ee9a1207528f,other,3,Gold Falls Casino,
d7b31439f5af,other,3,Hiking Trail,
8438152658e1,other,3,Hot Pink,
a431b9e3227e,other,3,January 27th,
438811b51842,other,3,July 20th,
6847a781eaad,other,3,Lilac Purple,
fc020ac6c3f7,other,3,Lola,
1de828179021,other,3,Lounging Around,
f4be3c8de283,other,3,March 16th,
0f52f4106626,other,3,May 13th,
97a68dbc4169,other,3,Mint Green,
68d5f9dc7144,other,3,November 9th,
0409b20ea2b6,other,3,Ocean Blue,
b254e8ab9739,other,3,Park,
d6d026c801fb,other,3,Pearl White,
a3675db3f186,other,3,Sleeping,
1a97b9d0d0f8,other,3,Tennis,
497756dda6e5,other,3,Tiffany,
e34d4eb17d03,other,3,Turtle Bay Beach,
bc8bf9ae2d7d,other,3,Velvet Red,
f0368dd26ca8,other,3,Watching Porn,
22a7b658460c,other,3,You're a cafe barista.,
3edab6b3160f,other,3,You're a salon hairdresser.,
ea2a510a52d2,other,3,You're a yoga instructor.,
c4cabd14d513,dialogue,2,Ahhh!,
6c104aff9773,dialogue,2,"Awww,····· you remembered!",
88c6ea2ae656,dialogue,2,Awwwww!,
74bfd81abbe0,dialogue,2,Beautiful!,
0a5087e7ad47,dialogue,2,Bye!,
2a3780b7a90a,dialogue,2,Cheers!,
406eb073b126,dialogue,2,Deuces!,
c67269268f87,dialogue,2,Exceptional...,
89246c0246e9,dialogue,2,Good Evening.,
1370d5b51ee8,dialogue,2,Good Morning.,
18f4863fac8f,dialogue,2,Goodnight!,
a956c3590663,dialogue,2,Hahahahaha!,
333d8490bb32,dialogue,2,Hahahahahahaha!,
50ea157a2b2a,dialogue,2,I don't know... I guess I'm still searching for that answer.,
b97dfc313fe7,dialogue,2,I love it!,
67ed1fb50101,dialogue,2,I'm lucky if I can keep it together for two weeks.,
fb97ae80f55f,dialogue,2,Let me ask you something...,
699375519a4f,dialogue,2,My longest? Probably a year and some change.,
b19c71d121fd,dialogue,2,Not bad...,
336d91f7ecef,dialogue,2,Peace!,
e832069ad977,dialogue,2,See ya.,
ad47195f92f8,dialogue,2,Sleep well.,
f9a28a181dc6,dialogue,2,Take care!,
108703bf56c0,dialogue,2,Take it easy.,
d18946def146,dialogue,2,Thank you so much!,
868d4dfea975,dialogue,2,Thank you!,
93d4e19df62f,dialogue,2,Thank you.,
d70f75d4e8b5,dialogue,2,Thanks!,
953c834e0b92,dialogue,2,Until next time...,
8e7ffea81891,dialogue,2,What day was I born on?,
85a09bc4a9c9,dialogue,2,Yeah?,
fde333f22ad6,dialogue,2,You shouldn't have!,
c4baaacda0b8,dialogue,2,afternoon,
0eb82be1def5,dialogue,2,evening,
01d684d2e437,dialogue,2,failure,
36104d01ae39,dialogue,2,hates,
b3ec4ba444b2,dialogue,2,loves,
68bc91f17c2c,dialogue,2,morning,
71c9fb0284c4,dialogue,2,night,
747330e2d3b0,other,2,+passion_level,
2cc6dea0e40a,other,2,100 lbs,
9f2e5e01a824,other,2,102 lbs,
1cd0bb5b0d56,other,2,130 lbs,
254dbfd621c7,other,2,18 Years Old,
a5d8c8204f91,other,2,36 Years Old,
64c368695a16,other,2,April 6th,
a40bfa7e99f2,other,2,Bar,
9793966cf05e,other,2,Beach,
fef70e862799,other,2,Bedroom,
554598842a6e,other,2,Black,
c51243f64df5,other,2,Cafe,
3ac3db8fe1b5,other,2,Carnival,
1b565138bbe5,other,2,Casino,
0b44ba2921bd,other,2,Charisma,
484c017bd8ff,other,2,Cheerleading,
5290d156cab0,other,2,Cloud Kingdom,
fab420159e7c,other,2,Flirtation,
612749636245,other,2,Gambling,
0b89e27d74a6,other,2,Girls,
2320f67b1bd1,other,2,Good old fashion missionary position.,
cf074ea81007,other,2,I like to give it from behind.,
d8e4901489dd,other,2,I'm a pretty big fan of oral.,
d9c3edd189d8,other,2,June 25th,
541c16adccf6,other,2,Jupiter,
af6789c35ba8,other,2,Love City,
cc94853c1ff7,other,2,Luck,
776421857f3e,other,2,Mall,
dad25c43a628,other,2,Mango,
5ff0a60cbecf,other,2,Market,
51dc76a0414a,other,2,Maye,
b03db7d97a5f,other,2,Nightclub,
289da65ea3d8,other,2,Outdoor Lounge,
03ba236586bf,other,2,Passion,
cc2055570d51,other,2,Romance,
6311b0c87ad4,other,2,Scenic Overlook,
f167aeb63ee9,other,2,Sensitivity,
e8bf9641fd00,other,2,"Several years, it was pretty serious.",
4e43826af913,other,2,Sexuality,
15090fa6d85a,other,2,Sherbet Orange,
be6fc9c8ac74,other,2,Shiny Silver,
3b8e8421aba4,other,2,Sky Garden,
5286e40e64ba,other,2,Talent,
ec903ba81dfb,other,2,Tooltip,
9c8f4450b589,other,2,Venus,
9ae2b7d6066a,other,2,Vinnie's Restaurant,
e49dc0ddb461,other,2,Working Out,
d1c91c0b898c,other,2,You've graduated with a six year degree.,
d8bc1b21aa7f,other,2,Your Bedroom,
1e54ca4a6ee7,ui,2,Girl Finder,Busca girls
d91b6ec79b84,dialogue,1,*aa*··*aacc*················ Good to see you again...,
01fb1fa83828,dialogue,1,"*aaaaaaaaaaacc*··· Oh boy...·········· same shit different day, eh?",
73dd7634d8a9,dialogue,1,*aaaaaaaaacc*····· I can't even look··· at food right now.,
847b09493c45,dialogue,1,"*aaaaaaaacc*···I'm sorry,············· was that supposed to be romantic?",
781321c1c065,dialogue,1,*aaaaaaaacc*····· Mmmhmm...?,
4fe7ba0253eb,dialogue,1,*aaaaaaaacc*·········· Not baaaaaaad...····················· But I'll have to give you some pointers next time.,
1c46f09a75ad,dialogue,1,*aaaaaaaccc*····· Try again.,
457d31d98575,dialogue,1,*aaaaaacc*Hehehehe···he.,
fe40424a8db1,dialogue,1,*aaaaaacc*··· I was up way too late last night.,
440ea97f9814,dialogue,1,*aaaaaacc*····· How...····· disappointing...,
97ccb4532259,dialogue,1,"*aaaaaacccc* Gooooood,····· this feels soooo nice...",
4a901582a5ef,dialogue,1,*aaaaaacccc*····· Just as I was expecting...,
d47ac90793a2,dialogue,1,*aaaaaacccc*·····I'm··· tired.············· Maybe I'll just stay over tonight.····· Is that okay...?,
43262187a9b6,dialogue,1,*aaaaaacccc*·····My legs are soooo tired...········ you should carry me!,
b32a80882849,dialogue,1,*aaaaaacccc*·····Today is going to be a good day.,
cbc8b394dbe4,dialogue,1,*aaaaacc*····· Too much...,
92910508ce82,dialogue,1,*aaaaacc*····· Well anybody could have gotten that.,
17d810a273b7,dialogue,1,*aaaaacc*·····Already asked that one.,
3fa629b5230f,dialogue,1,*aaaaacccc* Figures...,
0bdc7f0283ed,dialogue,1,*aaaacc* Never mind...,
e3728f133b57,dialogue,1,*aaaacc*....another unworthy suitor.,
0659886b09c6,dialogue,1,*aaaacc*You're so stupid!,
2538dcdfdd22,dialogue,1,*aaaacc*··I'm heartbroken!,
4c03fd8684cf,dialogue,1,*aaaacc*····· I'm insulted!,
4780194c6bc8,dialogue,1,"*aaaacc*····· Oh, yeah.········ Reeaalllly Impressive.",
b87f98231551,dialogue,1,*aaaacc*·····At least I can smoke in here.,
3bb5c2f3b295,dialogue,1,*aaaacc*·····Finally...,
6c1673c3a1bf,dialogue,1,*aaaacc*·····Hahahahahaha!,
1aaa0f1addec,dialogue,1,*aaaacc*·····I don't think I could eat another bite...,
d0f76f5bbf25,dialogue,1,*aaaacc*·····I know!····· Even my friends can be so plastic sometimes.,
2853d1edbc95,dialogue,1,*aaaacc*·····I should have stopped while I was ahead.,
42764db29a29,dialogue,1,*aaaacc*·····I'm such a lightweight.,
91c86c5000d5,dialogue,1,"*aaaacc*·····Puh-leese,············ you've got to be able to do better than that.",
cd4fa00d7046,dialogue,1,*aaaacc*·····So good to see you!,
f92a51257765,dialogue,1,*aaaacc*·····That's terrible!,
be0516cc63be,dialogue,1,*aaaacc*·····What a day.····· I need to unwind.,
99f6801f2161,dialogue,1,*aaaacc*·····Where do I start?,
5869cc1c2f3d,dialogue,1,*aaaacc*·····Why!?,
cc5713e5da7c,dialogue,1,*aaaacc*·····You jerk!·····*hahahaha*,
b10bbd52ed9b,dialogue,1,*aaaacc*·····You think...····· I'm cute?,
4ffbe06f22c4,dialogue,1,*aaaacc*·····Yummy!,
fde567b2cc2e,dialogue,1,*aaaacc*········· Alright...········ I'll handle this.·········· You're dismissed.,
28d643478f62,dialogue,1,*aaaacc*············This is more like it.,
c5a6d5f11fe9,dialogue,1,*aaaaccc*··You did this to me*eee*...,
02de871bf782,dialogue,1,*aaaaccc*·····*cccc*·····I should be getting to sleep too.·····,
0109bfa28218,dialogue,1,*aaaaccc*·····Mmmm...····· gonna be a tired kinda day.,
23f8535b083c,dialogue,1,*aaaaccc*·····Thanks for the sex homie.,
88a96cc738d1,dialogue,1,*aaaaccc*·····Typical earthling...,
c7f32483ed41,dialogue,1,*aaaaccc*·····What am I gonna do with you?,
303ea983037e,dialogue,1,*aaaaccc*·····You are impossible...,
e81127514766,dialogue,1,*aaaacc········*You're too much!············· I'll have to remember to get you something nice.,
e30ec735502d,dialogue,1,*aaaaoooo*··You're·· so·· dumb...·····,
cc9226664171,dialogue,1,*aaacc*·····Get with the program.····· We only like certain gifts!,
3cce095c908f,dialogue,1,"*aaacc*·····No, trust me,······· that's just her.············ I've had to deal with her before.",
0c8ba502e583,dialogue,1,*aaacc*·····They don't care...,
e70d7bb99175,dialogue,1,"*aaaccc*··Seriously,·········· tell me,······· how long have you been waiting for this to happen?",
6deeed05f0a8,dialogue,1,"*aaaccc*·····It's fine,····· just go with it;····· it's gonna be great.",
3a9da9de99b8,dialogue,1,"*aaacccc*·····Funny,········ but let's leave the sarcasm to me,········ alright?",
cfbb20790155,dialogue,1,*aacc*This····· is what we refer to·· as····· a mega bitch.····· Confidence is key here.,
32ba9baf1d6d,dialogue,1,*aacc*···*ccaaaacc*····· Do your worst...,
1c1596cf5a88,dialogue,1,*aaccc* Your turn!,
96e129d8704c,dialogue,1,*caac**cccc*···*cccc**cccc*···*aaa**aaac**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc*·····,
94161747ebe1,dialogue,1,*caac*·····*cccaaacc*···*caac*···*ccaacc*·····*ccaacc*·····*ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc*,
96f28c44f962,dialogue,1,"*cac*··*cac*··*cac**ccaacc*·····*yes,··· more*·····*ccaacc*·····*ccaacc**ccaacc**ccaacc**ccaacc**ccaacc*",
c307dec6a990,dialogue,1,"*cc*Mmmm,····· lucky me running into you like this!",
ee07c957fe17,dialogue,1,*cc*Mmmm-*cc*mmm!····· How am I supposed to stop eating this shit?,
dc59666a5ef4,dialogue,1,*ccaacc**ccaacc*·····*ccaacc*·····*ccaaccccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc*,
8dccf0db01c7,dialogue,1,*ccaacc*··*cac*···*caac*·····ohhh yeah·····*ccaacc**ccaacc*·····*ccaacc*·····*ccaacc*·····*ccaacc*·····,
bcb96b5193dd,dialogue,1,*ccaacc*···*ccaacc*···*ccaacc**ccaacc**ccaacc*···*ccaacc*···············*ccccaaaaaaaaaaaaaacccc*······························,
b7f8ac99cbb4,dialogue,1,*ccaacc*···*ccaacc*·····*ccaacc*·····*ccaacc*·····*ccaacc*···*ccaacc*···············*ccccaaaaaaaaaaaaaacccc*···············,
7d66c8fca71c,dialogue,1,*ccaacc*···*ccaacc*········*ccaacc*··········*ccaacc*············*ccaacc*···············*ccaacc*···············*ccccaaaaaaaaaaaaaacccc*···············,
fa9706bfd1cf,dialogue,1,*ccaacc*···*cccc*··*cccc*,
8d1ffbefcc15,dialogue,1,*ccaacc*·····*caac*·····*doont stoop*··*cccc*··*caac*·····*ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc*,
2ecf8cc29fee,dialogue,1,*ccaacc*·····*cac*···*ccaacc*···*ccaacc*···*cccaaaaccc*·····*ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc*,
436ae0d3e3db,dialogue,1,*ccaacc*·····*ccaacc*····*caac*·····*cccaaaaccc*·····*cccaaaccc*·····*ccaacc*·····*ccaacc**ccaacc**ccaacc**ccaacc*,
f5163b468bf1,dialogue,1,*cccc*·····Was she as good as I imagine?,
dfe591639853,dialogue,1,*cccc*·····Why you gotta be like that?····· Will you cut me a break over here?,
cbd5bd4f29af,dialogue,1,*cccccc*···For a second I thought you were going to say something else.,
b6f4ff2a3d66,dialogue,1,*cccccccc*·····Do we really have to get up?····· Let's just stay in bed...,
4351c8116009,dialogue,1,*cccccccc*·····Your bed is like a dream.····· I feel so rested and relaxed.,
fa1f43ee36b1,dialogue,1,*cmcmcmcmcm*·····This part never gets old.,
ecd9abf9a0a7,dialogue,1,"*haaah*·····No, but seriously.",
7962ee2d5456,dialogue,1,"*haha*··*hahahaha*·····Nooo,····· I like the birds.",
eee8efa804dc,dialogue,1,*hahaha*·····*heh*·····Well at least I don't have to worry about stamina...,
103f21879844,dialogue,1,*hahaha*··········How are classes going?,
e7eb935771ac,dialogue,1,*hahahaha**aaa*···The water is soooo··· cold.············· I like it out here in the sun.,
cb82b07abdae,dialogue,1,*hahahaha*Shut up.·····*haah*····· You know what I mean.,
f870664af117,dialogue,1,"*hahahaha*···*hah*···You realize,····· this makes you my official plaything,····· hmm?",
f7f222b60d67,dialogue,1,"*hahahaha*···What are you trying to say?...····· Just kidding,····· thanks!",
0ddf3fcb5241,dialogue,1,*hahahaha*·····*ccc*·····I just keep picturing myself falling on my butt.,
7c62fea15b18,dialogue,1,*hahahaha*·····*eee*·····I have a hard time believing that one.,
45526f8ae6cf,dialogue,1,*hahahaha*·····*ha*···You just keep on surprising me...,
7af4d7457704,dialogue,1,"*hahahaha*·····*haah*·····Somehow,····· I'm not so sure I believe that.",
4f1c6fdf3ae8,dialogue,1,*hahahaha*·····I think you and I are going to get along just fine...,
c591af6c6950,dialogue,1,"*hahahaha*·····Nah, I'm crazy real.····· I just hid myself from everyone so I can give you advice on the sidelines.",
edfe386d78db,dialogue,1,*hahahaha*·····Nice try!,
4cc8942eda28,dialogue,1,*hahahaha*·····Now I know we're soul mates.,
1f113a6ffd06,dialogue,1,"*hahahaha*·····Oh my god,····· are you serious?",
83dee5948d70,dialogue,1,*hahahaha*·····Stop it!,
f82529cbbbd1,dialogue,1,"*hahahaha*·····Uhhh,····· try again.",
b025d3a61582,dialogue,1,*hahahaha*·····We'll have to see about that...····· I'm pretty good myself.,
646f12a36ea2,dialogue,1,"*hahahaha*·····Well,····· yeah,····· I am pretty good...",
ce6958eaa153,dialogue,1,"*hahahaha*·····Yeah,····· but then what?····· I'm still bored!",
40c3a3cf5eeb,dialogue,1,*hahahaha*·····Yep!····· You got it!,
4a85c0ba4549,dialogue,1,"*hahahaha*·····You're such a clown.····· But,··· a funny one.",
7c9b4bae08c5,dialogue,1,"*hahahahaha*···Oh my god,····· seriously?",
5e47781b3896,dialogue,1,*hahahahaha*····· It took forever to find my bra this morning.····· How did it end up across the room?,
6aab2603b6ba,dialogue,1,*hahahahaha*·····*cccc*·····Did you really just say that?············· I don't think I've ever heard that one before.,
589929b90ed2,dialogue,1,*hahahahaha*·····At least you're honest.,
157a0185afbc,dialogue,1,"*hahahahaha*·····Awww,··· you don't mean that...",
766c78d5e4e3,dialogue,1,*hahahahaha*·····For a second I wasn't sure you were gonna get it!,
8f93dfcf41bf,dialogue,1,*hahahahaha*·····I haven't enjoyed myself like that in a while.,
1f5a1e499581,dialogue,1,*hahahahaha*·····I think I'm still a little sore from last night.,
eeb858f8543d,dialogue,1,*hahahahaha*·····Is that so?,
359f956192a8,dialogue,1,"*hahahahaha*·····Sooo,··· I take it work is good?",
7de1e33895f9,dialogue,1,"*hahahahaha*·····Yo,··· whatever...····· Think again.",
21a06b5f4150,dialogue,1,*hahahahaha*·····You sure about that?,
2f4641107c6b,dialogue,1,*hahahahaha*·······Is that the case?········ I'm glad I could be of service.,
38bb26a31623,dialogue,1,*hahahahaha*········It worked.····· You look wicked cool.,
5d11b2efc6f8,dialogue,1,*hahahahaha*··········Get the fuck out of here with that shit!,
d51447ecc6c3,dialogue,1,"*hahahahaha*··········With you?················ Uhhh,················ yeah,·············· sure,·············· whatever.·········· Just don't get your hopes up.",
f8f884444226,dialogue,1,*hahahahahaha*Is that sooo?·····,
176193bbce27,dialogue,1,*hahahahahaha*···*ha*···Well I hope you remember where it was.,
3de3292fa01f,dialogue,1,"*hahahahahaha*····· Uh, Hi...",
eb1da1b5a99e,dialogue,1,"*hahahahahaha*····· You're looking at her.·········· Venus,····· the goddess of love.",
880f6cdfca75,dialogue,1,"*hahahahahaha*·····*cccc*·····Of course!····· What was I thinking?············· I'm sorry honey,········ won't happen again.",
19e5b6807cc4,dialogue,1,"*hahahahahaha*·····*cccc*·····Okay,··· now that one I know I've never heard before.",
baa7f3a324bf,dialogue,1,"*hahahahahaha*·····No...······· no.······· God no.·········· Besides,····· I was on the clock.",
c616aa202e87,dialogue,1,*hahahahahaha*·····Thanks.····· I try.,
f0974454b22d,dialogue,1,*hahahahahahaha*·····Oh my god!····· Could you please be more racist?,
9009c2b3825b,dialogue,1,*hahahahahahahaha* You wish!,
2b085e8e59ce,dialogue,1,*hahahahahahahaha*··········I ask myself the same thing··· all the time.,
074df811035d,dialogue,1,*hahahahahahahahahaha*·····Of course!··············· Now I see why you came up to me.,
653afcb19ad9,dialogue,1,*hahahahahahahahahahahahaha*·····*ccaaaacc*········ Good luck...,
2cc9fb505323,dialogue,1,"*hehe*Yo,····· shut······· up.········· You're killin' my dream.····· You know you loved it.",
63d771854a9f,dialogue,1,*hehehe*·····Shut up! You're such a dork.,
de966efabc9c,dialogue,1,"*hehehe*·····Yeah right,····· you wish!",
9a6027ee1432,dialogue,1,"*hehehehe* Come on,·· give me a break.····· Stop teasing me!",
a7a84b64b845,dialogue,1,*hhmmmm*·····Why are they always confused?,
6b8174e3054f,dialogue,1,*hmmm*···I bet you were...,
06d0fe86c438,dialogue,1,*iii*I...·········· Oohhhh...······· you really think I'm attractive...?,
9527a3306d69,dialogue,1,*mmmhhhmmmhhh*·····Aren't they?····· What can I say?····· I'm blessed.,
2d9981908b3d,dialogue,1,"*oh my god,····· yeah*·····*ccccmmmm*·····*ccaacc*·····*ccaacc*·····*ccaacc**ccaacc**ccaacc**ccaacc**ccaacc**ccaacc*",
ab3333ca37d6,dialogue,1,...aaand··· what exactly am I supposed to do with...·· that?,
bd051c3b92e6,dialogue,1,...and here I was looking forward to this.,
5ad7f13dbb3d,dialogue,1,...and just why would you want to learn more about me?,
ea922ab6e612,dialogue,1,...and let you walk out of my life forever?,
13bafcaa84c0,dialogue,1,"A big house, fancy cars, exotic trips... the best life has to offer.",
b9916c11ba4c,dialogue,1,A bit too early for me...,
06ac5d8d55b4,dialogue,1,"A date?·········· Oh,··· that's adorable!············· I'd love to go on a date with you.",
6ff25666c6e2,dialogue,1,A gift?····· For me?····· Thank you.····· How can I repay you?,
6060a47ec6b8,dialogue,1,A girl with a lot of emotional baggage doesn't work for me.,
9311764612ac,dialogue,1,"A little bit is okay, but I prefer the more natural look.",
a2d5a9669d0c,dialogue,1,"A romantic candle lit dinner, followed by a moonlit walk on the beach.",
270538f89de0,dialogue,1,A teacher? You must be like really smart.,
1592f391f71b,dialogue,1,A thing?····· What kinda thing?·· A treat!?,
46ff6df1d182,dialogue,1,"A threesome... no, a foursome! As many girls as you can fit on a bed.",
dbaf0fc15a88,dialogue,1,A toast!·········· To the beautiful····· love goddess!,
1dc23472fb0c,dialogue,1,"AMICE Maxim, Matthew Potter, Aiden ""Numbers"" Schaefer, Bradley Pabatang, David ""Socratics101"" Chang, Derrick Pilgrim Jr, Miguel Lollett, T. Cook, Timmothy Clarke, Aaron Reishaun Dixon, Accelsharp, Alex Martin, Alexis Helen, Alice Gutierrez, Almost Human, Andrew Mark Cathie, B ""King of Anime"" T, Benjamin Aurin, Boehmi, Cabbage, Charles Russell, Closet Pervert, Crystal Young, Daniel M Nguyen, Dark Mystic Squatter 69, Dylan Smith, Eddie Arenas, epeeguy, Erik Konpaku, Ethan Chiang, F. Javier Leon, FrostBlue, Incredible_Scarf, Jared Katz, Jens Schunck, Jim Cates, John Allen IV, John Smith Tardis, Johnathan Smithwick, Joshua Miller, Juryel, Justin Groves, Jyles Cinco, Kaazmo, Kaggie Kendall, Keeper O Books, Kellen McIntyre, Kenny Good, Lazgodie, Mathias Boogh, Matt, Maxwell Franklin, Michael B., Michan, Mikael Knall, Nico Schmitz, Ominous Nominous, Pablo Tourino, Patrick Regling, Patrick Shimizu, Paul ""Shimraa"" Webb, PkkFrank, Quackk_Attack, Quill Kirkland, Sebastian Berger, ShadowFox, Shining Arrow, shinobi, Shiori Misaka, Sonny Le, Sprout, Taon Bower, The Gamer GJMCJG, tofuji, Tyarian Solvluna, Ultramatic, Valkyri, Venron, webJoker, William Bryant, Wraith, Yuji Sato, Yurii ""Saodhar"" Furtat, zack wood, ZackFair(Joel), Zuhur Abdo",
de3f01f7dce4,dialogue,1,Aaaaaaaaaahhhhh...,
9105cf91630d,dialogue,1,"About a week, I think it's good to make them sweat a little.",
259fbb42bfe2,dialogue,1,About as often as I do it when I'm single.,
e97335795ad3,dialogue,1,About time a man who knows what he's doing shows up in my life.,
bd5da5e08ab5,dialogue,1,About time a woman who knows what she's doing shows up in my life.,
60d9828f3e58,dialogue,1,About time...,
82cf065f166a,dialogue,1,About··· time!·········· I gotta say I wasn't sure if you were gonna pull it off.,
06431bd4b268,dialogue,1,Absolutely beautiful.······· Look at all these colors.,
8283f7cf4e5d,dialogue,1,Absolutely·· shameful.············ You're in the presence of a goddess!,
2cf574554328,dialogue,1,"Accomplishing the goals you set for yourself, whatever they might be.",
73f433df829b,dialogue,1,"Actually,····· I have a pounding headache right now.····· Can we do this later please?",
81b10176f389,dialogue,1,"Admittedly,·········· the food down here·········· isn't half bad.",
a5e8edcbbe68,dialogue,1,Afraid not.····· This is totally happening.,
d275e67aa7ce,dialogue,1,Ah-ha!········ Got you!······· You've already asked me that.····· Pay attention!,
c9546e0ab3eb,dialogue,1,Ahh!,
15e624faf322,dialogue,1,Ahhh the hot spring...····· a classic dating sim staple.,
189aeadbdbdb,dialogue,1,"Ahhh,··· coooome *ooooo*ooon.··············· You're not going to make me sit here and drink all by myself are you?",
989bd56232f0,dialogue,1,"Ahhh,····· the mega bitch.····· You wanna know the crazy thing about her?····· She was a virgin before you.····· Go figure.·····",
54fa42fdcb2b,dialogue,1,"Ahhh,····· what?····· I hope you're not serious.",
ab5acc3b6415,dialogue,1,Ahhh...····· feels good to be done with classes for the day.,
d533f00c9b17,dialogue,1,"Ahhhh, this job has it's perks...",
9b63e3860db0,dialogue,1,"Ahhhh,·· I'd love to...",
a61420ff8440,dialogue,1,"Ahhhh...····· the smell of fresh produce.········ Ehh,····· am I weird?",
2aaf92680e92,dialogue,1,Ahhhhh...····· this is soooo··· relaxing.············· Jab me if I start to doze off.,
2d7b8d0ec263,dialogue,1,Ahhhhh...····· this is what I deserve...····· to be pampered.,
6224b6826b26,dialogue,1,Ahhhhhh...,
